Feature ID,Chemical Name,Ionization Mode,DTXCID,Correct SSM structure,Number of candidate structures for feature,Chemical metadata score,MS2 score (pos),MS2 score (neg),Hazard score,Chemical metadata rank,MS2 rank (pos),MS2 rank (neg),Hazard rank
200,metformin,ESI+,DTXCID001010296,FALSE,8,0.01,0.47,,2.00,3,6,,3
200,metformin,ESI+,DTXCID001450927,FALSE,8,0.01,1.06,,4.00,3,4,,1
200,metformin,ESI+,DTXCID30874918,FALSE,8,0.03,0.46,,2.00,2,7,,3
200,metformin,ESI+,DTXCID601018098,FALSE,8,0.01,0.98,,2.00,3,5,,3
200,metformin,ESI+,DTXCID70617866,FALSE,8,0.01,1.10,,1.50,3,3,,4
200,metformin,ESI+,DTXCID70886772,FALSE,8,0.01,1.15,,2.50,5,2,,2
200,metformin,ESI+,DTXCID803270,TRUE,8,7.00,1.24,,4.00,1,1,,1
200,metformin,ESI+,DTXCID80851537,FALSE,8,0.01,0.39,,1.50,4,8,,4
247,amphetamine,ESI+,DTXCID001038280,FALSE,158,0.00,0.75,,2.00,139,69,,24
247,amphetamine,ESI+,DTXCID00113407,FALSE,158,0.05,0.76,,2.25,54,67,,21
247,amphetamine,ESI+,DTXCID001394674,FALSE,158,0.02,0.57,,1.00,87,131,,29
247,amphetamine,ESI+,DTXCID00225958,FALSE,158,0.02,1.06,,1.50,84,23,,28
247,amphetamine,ESI+,DTXCID0030900,FALSE,158,0.25,0.97,,2.72,24,40,,13
247,amphetamine,ESI+,DTXCID00455495,FALSE,158,0.03,1.08,,2.00,69,18,,24
247,amphetamine,ESI+,DTXCID00460741,FALSE,158,0.01,0.68,,2.50,104,88,,17
247,amphetamine,ESI+,DTXCID005479,FALSE,158,0.52,0.38,,3.57,12,156,,7
247,amphetamine,ESI+,DTXCID00705482,FALSE,158,0.00,0.89,,1.50,140,49,,28
247,amphetamine,ESI+,DTXCID00937049,FALSE,158,0.01,0.39,,1.50,121,154,,28
247,amphetamine,ESI+,DTXCID00949985,FALSE,158,0.05,0.66,,2.20,55,101,,22
247,amphetamine,ESI+,DTXCID00959322,FALSE,158,0.01,0.57,,1.50,134,132,,28
247,amphetamine,ESI+,DTXCID101037366,FALSE,158,0.00,0.90,,2.00,139,48,,24
247,amphetamine,ESI+,DTXCID101040230,FALSE,158,0.00,0.72,,2.00,136,74,,24
247,amphetamine,ESI+,DTXCID10130120,FALSE,158,0.34,0.68,,3.00,18,90,,11
247,amphetamine,ESI+,DTXCID10132588,FALSE,158,0.03,0.58,,1.67,75,128,,27
247,amphetamine,ESI+,DTXCID101848,FALSE,158,0.50,1.01,,3.13,13,35,,9
247,amphetamine,ESI+,DTXCID1028154,FALSE,158,0.30,1.06,,2.50,20,24,,17
247,amphetamine,ESI+,DTXCID10286454,FALSE,158,0.01,0.69,,2.50,116,87,,17
247,amphetamine,ESI+,DTXCID10287143,FALSE,158,0.01,0.60,,1.67,115,122,,27
247,amphetamine,ESI+,DTXCID10442154,FALSE,158,0.01,1.06,,2.50,110,22,,17
247,amphetamine,ESI+,DTXCID1048837,FALSE,158,0.10,1.10,,2.20,37,11,,22
247,amphetamine,ESI+,DTXCID1048912,FALSE,158,0.06,1.07,,2.20,53,21,,22
247,amphetamine,ESI+,DTXCID10510529,FALSE,158,0.01,0.61,,2.50,125,117,,17
247,amphetamine,ESI+,DTXCID10554963,FALSE,158,0.01,0.38,,2.50,106,155,,17
247,amphetamine,ESI+,DTXCID10660538,FALSE,158,0.01,0.34,,2.00,133,158,,24
247,amphetamine,ESI+,DTXCID10694297,FALSE,158,0.01,0.65,,2.00,130,103,,24
247,amphetamine,ESI+,DTXCID1069615,FALSE,158,0.02,0.42,,1.50,88,150,,28
