Feature ID,Chemical Name,Ionization Mode,DTXCID,Number of candidate structures for feature,Chemical metadata score,Correct SSM structure,Hazard score,MS2 score (neg),MS2 score (pos),Chemical metadata rank,Hazard rank,MS2 rank (pos),MS2 rank (neg),Sources,Patents,Articles,PubMed Record Count,AMOS methods count,AMOS fact sheets count,AMOS spectra count,Presence in water lists count,Sources_norm,Patents_norm,Articles_norm,PubMed Record Count_norm,AMOS methods count_norm,AMOS fact sheets count_norm,AMOS spectra count_norm,Presence in water lists count_norm
200,metformin,ESI+,DTXCID001010296,8,0.0138888888888889,False,2,,0.4670134088,3,3,6,,2,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID001450927,8,0.0138888888888889,False,4,,1.0571746742,3,1,4,,2,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID30874918,8,0.0277777777777778,False,2,,0.459703306,2,3,7,,4,0,0,0,0,0,0,0,0.0277777777777778,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID601018098,8,0.0138888888888889,False,2,,0.9846921465,3,3,5,,2,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID70617866,8,0.0138888888888889,False,1.5,,1.1029027488,3,4,3,,2,0,0,0,0,0,0,0,0.0138888888888889,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID70886772,8,0.00694444444444444,False,2.5,,1.1498520496,5,2,2,,1,0,0,0,0,0,0,0,0.00694444444444444,0,0,0,0,0,0,0
200,metformin,ESI+,DTXCID803270,8,7,True,4,,1.2374918811,1,1,1,,144,98612,70671,42440,19,0,168,11,1,1,1,1,1,0,1,1
200,metformin,ESI+,DTXCID80851537,8,0.0080802088544554,False,1.5,,0.3941571521,4,4,8,,1,112,0,0,0,0,0,0,0.00694444444444444,0.00113576441001095,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID001038280,158,0.00392736703984567,False,2,,0.749235055,139,24,69,,1,1,0,0,0,0,0,0,0.00392156862745098,5.79841239468633e-06,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00113407,158,0.0532144663683999,False,2.25,,0.7577180938,54,21,67,,11,348,11,1,0,0,1,0,0.0431372549019608,0.00201784751335084,0.000109322202345458,1.35338142348658e-05,0,0,0.00793650793650794,0
247,amphetamine,ESI+,DTXCID001394674,158,0.023615552591989,False,1,,0.567234945,87,29,131,,6,8,4,0,0,0,0,0,0.0235294117647059,4.63872991574907e-05,3.97535281256211e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00225958,158,0.0246605584540204,False,1.5,,1.0626189709,84,28,23,,4,1546,1,0,0,0,0,0,0.0156862745098039,0.00896434556218507,9.93838203140529e-06,0,0,0,0,0
247,amphetamine,ESI+,DTXCID0030900,158,0.246592985506193,False,2.72222222222222,,0.9679328062,24,13,40,,19,3616,27,4,0,0,19,0,0.0745098039215686,0.0209670592191858,0.000268336314847943,5.41352569394633e-05,0,0,0.150793650793651,0
247,amphetamine,ESI+,DTXCID00455495,158,0.0334003349149901,False,2,,1.0764799705,69,24,18,,8,348,1,0,0,0,0,0,0.0313725490196078,0.00201784751335084,9.93838203140529e-06,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00460741,158,0.0141594502013584,False,2.5,,0.6828858246,104,17,88,,3,413,0,0,0,0,0,0,0.0117647058823529,0.00239474431900546,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID005479,158,0.521449027259626,False,3.57142857142857,,0.3776447258,12,7,156,,25,5630,305,13,1,2,30,0,0.0980392156862745,0.0326450617820841,0.00303120651957861,0.000175939585053256,0.0161290322580645,0.133333333333333,0.238095238095238,0
247,amphetamine,ESI+,DTXCID00705482,158,0.00392156862745098,False,1.5,,0.8914692745,140,28,49,,1,0,0,0,0,0,0,0,0.00392156862745098,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00937049,158,0.0117647058823529,False,1.5,,0.3948655271,121,28,154,,3,0,0,0,0,0,0,0,0.0117647058823529,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00949985,158,0.0531206460087377,False,2.2,,0.661087028,55,22,101,,12,1042,2,0,0,0,0,0,0.0470588235294118,0.00604194571526316,1.98767640628106e-05,0,0,0,0,0
247,amphetamine,ESI+,DTXCID00959322,158,0.00784313725490196,False,1.5,,0.5652611134,134,28,132,,2,0,0,0,0,0,0,0,0.00784313725490196,0,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID101037366,158,0.00392736703984567,False,2,,0.8953167201,139,24,48,,1,1,0,0,0,0,0,0,0.00392156862745098,5.79841239468633e-06,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID101040230,158,0.00397983129808537,False,2,,0.7234657164,136,24,74,,1,6,1,1,0,0,0,0,0.00392156862745098,3.4790474368118e-05,9.93838203140529e-06,1.35338142348658e-05,0,0,0,0
247,amphetamine,ESI+,DTXCID10130120,158,0.338612420634428,False,3,,0.6798619781,18,11,90,,32,4860,133,42,2,0,19,0,0.125490196078431,0.0281802842381756,0.0013218048101769,0.000568420197864364,0.032258064516129,0,0.150793650793651,0
247,amphetamine,ESI+,DTXCID10132588,158,0.0287904136553294,False,1.66666666666667,,0.5772446563,75,27,128,,7,231,0,0,0,0,0,0,0.0274509803921569,0.00133943326317254,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID101848,158,0.500880756845974,False,3.125,,1.014527445,13,9,35,,25,1753,59,2,0,1,41,0,0.0980392156862745,0.0101646169278851,0.000586364539852912,2.70676284697316e-05,0,0.0666666666666667,0.325396825396825,0
247,amphetamine,ESI+,DTXCID1028154,158,0.302986228925205,False,2.5,,1.0584911284,20,17,24,,18,3064,28,5,0,0,27,0,0.0705882352941176,0.0177663355773189,0.000278274696879348,6.76690711743291e-05,0,0,0.214285714285714,0
247,amphetamine,ESI+,DTXCID10286454,158,0.0118690773054573,False,2.5,,0.6865412833,116,17,87,,3,18,0,0,0,0,0,0,0.0117647058823529,0.000104371423104354,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10287143,158,0.011874875717852,False,1.66666666666667,,0.5999467274,115,27,122,,3,19,0,0,0,0,0,0,0.0117647058823529,0.00011016983549904,0,0,0,0,0,0
247,amphetamine,ESI+,DTXCID10442154,158,0.0123702222982791,False,2.5,,1.0643854704,110,17,22,,3,101,2,0,0,0,0,0,0.0117647058823529,0.00058563965186332,1.98767640628106e-05,0,0,0,0,0
