Feature ID,Chemical Name,Tracer DTXSID,Ionization Mode,Mass Error (PPM),Retention Time Difference,Total Detection Count,Total Detection Percentage,Max CV Across Samples,Mass,Retention Time,INPUT,DTXCID_INDIVIDUAL_COMPONENT,MONOISOTOPIC_MASS_INDIVIDUAL_COMPONENT,SMILES_INDIVIDUAL_COMPONENT,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,DATA_SOURCES,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MASS_DIFFERENCE,FOUND_BY,SSM chemical,Sources,Patents,Articles,PubMed Record Count,AMOS methods count,AMOS fact sheets count,AMOS spectra count,Presence in water lists count,Acute Mammalian Toxicity Oral_score,Acute Mammalian Toxicity Oral_authority,Acute Mammalian Toxicity Inhalation_score,Acute Mammalian Toxicity Inhalation_authority,Acute Mammalian Toxicity Dermal_score,Acute Mammalian Toxicity Dermal_authority,Carcinogenicity_score,Carcinogenicity_authority,Genotoxicity Mutagenicity_score,Genotoxicity Mutagenicity_authority,Endocrine Disruption_score,Endocrine Disruption_authority,Reproductive_score,Reproductive_authority,Developmental_score,Developmental_authority,Neurotoxicity Repeat Exposure_score,Neurotoxicity Repeat Exposure_authority,Neurotoxicity Single Exposure_score,Neurotoxicity Single Exposure_authority,Systemic Toxicity Repeat Exposure_score,Systemic Toxicity Repeat Exposure_authority,Systemic Toxicity Single Exposure_score,Systemic Toxicity Single Exposure_authority,Skin Sensitization_score,Skin Sensitization_authority,Skin Irritation_score,Skin Irritation_authority,Eye Irritation_score,Eye Irritation_authority,Acute Aquatic Toxicity_score,Acute Aquatic Toxicity_authority,Chronic Aquatic Toxicity_score,Chronic Aquatic Toxicity_authority,Persistence_score,Persistence_authority,Bioaccumulation_score,Bioaccumulation_authority,Exposure_score,Exposure_authority,Average Hazard Score,Average Quality Score,Quality-Adjusted Hazard Score,Number of end points with data available,Completeness Score,Transparency
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID00829293,"Oxalic acid--1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione (1/2)",88273-30-7,JSOWKYHIZHRDND-UHFFFAOYSA-N,"Oxalic acid--1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione (1/2)",C16H18N8O8,450.124759572,,,,1,,,0.000505686,Monoisotopic Mass,False,1.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID10274775,"Butanoic acid, 4-((((2-methoxypropyl)amino)carbonyl)amino)-4-oxo-, mercury complex",8065-39-2,HXNBMMFTOHTUEW-UHFFFAOYSA-N,,C16H25HgN6O8,631.14403,,,,1,,,0.000505686,Monoisotopic Mass,False,2.0,0.0,66.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID60411850,7224-71-7 (name error),7224-71-7,XVWQDTZPPARUNJ-UHFFFAOYSA-N,,C7H14Cl2CuN4O4,350.967711,,,,2,,,0.000505686,Monoisotopic Mass,False,1.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID50207709,Aminophylline dihydrate,5897-66-5,FXNJPZOEDHBGEY-UHFFFAOYSA-N,"1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione--ethane-1,2-diamine--water (2/1/2)",C16H28N10O6,456.219328662,,,,8,,,0.000505686,Monoisotopic Mass,False,11.0,0.0,2.0,0.0,,,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID80230404,Ephedrine mixture with phenobarbital and theophylline,8057-98-5,NKJQUBGQMMGWMJ-JBURPYQASA-N,,C29H36ClN7O6,613.2415596,,,,8,,,0.000505686,Monoisotopic Mass,False,2.0,0.0,5.0,5.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID50233725,"2,3-Dihydrophthalazine-1,4-dione dihydrazone, compound with 3,7-dihydro-1,3-dimethyl-1H-purine-2,6-dione (1:1)",84712-84-5,STUUJICSXAHEFA-UHFFFAOYSA-N,"1,3-Dimethyl-3,7-dihydro-1H-purine-2,6-dione--1,4-dihydrazinylphthalazine (1/1)",C15H18N10O2,370.16141986,,,,4,,,0.000505686,Monoisotopic Mass,False,4.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID10916108,"5-Hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid--1,3-dimethyl-3,9-dihydro-1H-purine-2,6-dione (1/1)",94201-93-1,KRQKQCIGPPVIOK-UHFFFAOYNA-N,"5-Hydroxy-3,4-dihydro-2H-pyrrole-2-carboxylic acid--1,3-dimethyl-3,9-dihydro-1H-purine-2,6-dione (1/1)",C12H15N5O5,309.107318603,,,,4,,,0.000505686,Monoisotopic Mass,False,4.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID201000984,"Mercury sodium 3-[(2-methoxypropan-3-id-1-yl)carboximidato]-1,2,2-trimethylcyclopentane-1-carboxylate--1,3-dimethyl-3,9-dihydro-1H-purine-2,6-dione--water (1/1/1/1/1)",8012-34-8,JTDRBSMSKQRBGT-UHFFFAOYNA-L,"Mercury sodium 3-[(2-methoxypropan-3-id-1-yl)carboximidato]-1,2,2-trimethylcyclopentane-1-carboxylate--1,3-dimethyl-3,9-dihydro-1H-purine-2,6-dione--water (1/1/1/1/1)",C21H32HgN5NaO7,691.190586,,,,6,,,0.000505686,Monoisotopic Mass,False,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID90213602,Novophyllin,63907-40-4,UNEKNYJDIWURAQ-UHFFFAOYSA-N,,C21H28N8O5,472.218266034,,,,7,,,0.000505686,Monoisotopic Mass,False,2.0,1.0,4266.0,4270.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
793,theophylline,DTXSID5021336,ESI+,2.9500507318,0.0548624999999999,14,24.56,0.1405,180.0652312,3.3548625,180.0652312,DTXCID001336,180.064725514,CN1C2=C(NC=N2)C(=O)N(C)C1=O,DTXSID50274850,AC1L1F34,17140-27-1,SPMFUMHTOFNWHX-UHFFFAOYSA-N,"(Trimethylazaniumyl)acetate--1,3-dimethyl-3,7-dihydro-1H-purine-2,6-dione (1/1)",C12H19N5O4,297.143704112,,,,3,,,0.000505686,Monoisotopic Mass,False,3.0,0.0,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0,0.0,0.01
