Feature ID,Chemical Name,Tracer DTXSID,Ionization Mode,Mass Error (PPM),Retention Time Difference,Total Detection Count,Total Detection Percentage,Max CV Across Samples,Mass,Retention Time,INPUT,DTXCID_INDIVIDUAL_COMPONENT,MONOISOTOPIC_MASS_INDIVIDUAL_COMPONENT,SMILES_INDIVIDUAL_COMPONENT,DTXSID,PREFERRED_NAME,CASRN,INCHIKEY,IUPAC_NAME,MOLECULAR_FORMULA,MONOISOTOPIC_MASS,EXPOCAST_MEDIAN_EXPOSURE_PREDICTION_MG/KG-BW/DAY,EXPOCAST,NHANES,DATA_SOURCES,TOXCAST_PERCENT_ACTIVE,TOXCAST_NUMBER_OF_ASSAYS/TOTAL,MASS_DIFFERENCE,FOUND_BY,Acute Mammalian Toxicity Oral_score,Acute Mammalian Toxicity Oral_authority,Acute Mammalian Toxicity Inhalation_score,Acute Mammalian Toxicity Inhalation_authority,Acute Mammalian Toxicity Dermal_score,Acute Mammalian Toxicity Dermal_authority,Carcinogenicity_score,Carcinogenicity_authority,Genotoxicity Mutagenicity_score,Genotoxicity Mutagenicity_authority,Endocrine Disruption_score,Endocrine Disruption_authority,Reproductive_score,Reproductive_authority,Developmental_score,Developmental_authority,Neurotoxicity Repeat Exposure_score,Neurotoxicity Repeat Exposure_authority,Neurotoxicity Single Exposure_score,Neurotoxicity Single Exposure_authority,Systemic Toxicity Repeat Exposure_score,Systemic Toxicity Repeat Exposure_authority,Systemic Toxicity Single Exposure_score,Systemic Toxicity Single Exposure_authority,Skin Sensitization_score,Skin Sensitization_authority,Skin Irritation_score,Skin Irritation_authority,Eye Irritation_score,Eye Irritation_authority,Acute Aquatic Toxicity_score,Acute Aquatic Toxicity_authority,Chronic Aquatic Toxicity_score,Chronic Aquatic Toxicity_authority,Persistence_score,Persistence_authority,Bioaccumulation_score,Bioaccumulation_authority,Exposure_score,Exposure_authority,SSM chemical
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID90118249,293.177964365,C[N+](C)([O-])CCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,DTXSID50195758,Amitriptylinoxide,4317-14-0,ZPMKQFOGINQDAM-UHFFFAOYSA-N,"3-(10,11-Dihydro-5H-dibenzo[a,d][7]annulen-5-ylidene)-N,N-dimethylpropan-1-amine N-oxide",C20H23NO,293.177964365,,,,36,,,0.000413035,Monoisotopic Mass,M,Screening,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,I,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID4026187,293.177964365,OC(C1CN2CCC1CC2)(C1=CC=CC=C1)C1=CC=CC=C1,DTXSID6046187,Quifenadine,10447-39-9,PZMAHNDJABQWGS-UHFFFAOYNA-N,(1-Azabicyclo[2.2.2]octan-3-yl)(diphenyl)methanol,C20H23NO,293.177964365,,,,34,8.86,7/79,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,I,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID601012002,293.177964365,CN(C)CCC=C1C2=CC=CC=C2CC(O)C2=CC=CC=C12,DTXSID90873785,10-Hydroxyamitriptyline,1159-82-6,GHWBJXOKAFHZAI-UHFFFAOYNA-N,"5-[3-(Dimethylamino)propylidene]-10,11-dihydro-5H-dibenzo[a,d][7]annulen-10-ol",C20H23NO,293.177964365,,,,24,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,ND,,True
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID1041182,293.177964365,CCCCCCCOC1=CC=C(C=C1)C1=CC=C(C=C1)C#N,DTXSID4068747,"[1,1'-Biphenyl]-4-carbonitrile, 4'-(heptyloxy)-",52364-72-4,JPBFKTCKZLMJED-UHFFFAOYSA-N,"4'-(Heptyloxy)[1,1'-biphenyl]-4-carbonitrile",C20H23NO,293.177964365,3e-07,,,22,,,0.000413035,Monoisotopic Mass,L,Screening,ND,,ND,,ND,,I,QSAR Model,L,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,H,QSAR Model,ND,,I,QSAR Model,VH,QSAR Model,ND,,I,QSAR Model,M,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID4093433,293.177964365,CN(C)CCCC1(O)C2=CC=CC=C2C=CC2=CC=CC=C12,DTXSID30170942,"5-(3-(Dimethylamino)propyl)-5H-dibenzo(a,d)cyclohepten-5-ol",18029-54-4,VMLRQKQUOMJJAN-UHFFFAOYSA-N,"5-[3-(Dimethylamino)propyl]-5H-dibenzo[a,d][7]annulen-5-ol",C20H23NO,293.177964365,,,,17,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,H,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,H,QSAR Model,ND,,I,QSAR Model,VH,QSAR Model,ND,,I,QSAR Model,I,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID00223272,293.177964365,[H]C12CCC(CC(O)CNC)(C3=C1C=CC=C3)C1=C2C=CC=C1,DTXSID40227299,Levoprotiline,76496-68-9,FDXQKWSTUZCCTM-ZUIJCZDSSA-N,"(2R)-1-(9,10-Ethanoanthracen-9(10H)-yl)-3-(methylamino)propan-2-ol",C20H23NO,293.177964365,,,,16,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,I,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID80224868,293.177964365,CN(C)CCC1(CCC2=C(C=CC=C2)C1=O)C1=CC=CC=C1,DTXSID60239076,Dexnafenodone,92629-87-3,IOKKIRANVRFSAH-FQEVSTJZSA-N,"(2S)-2-[2-(Dimethylamino)ethyl]-2-phenyl-3,4-dihydronaphthalen-1(2H)-one",C20H23NO,293.177964365,,,,15,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,I,QSAR Model,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID601012002,293.177964365,CN(C)CCC=C1C2=CC=CC=C2CC(O)C2=CC=CC=C12,DTXSID50873786,(E)-10-Hydroxyamitriptyline,64520-05-4,GHWBJXOKAFHZAI-SFQUDFHCNA-N,"(5E)-5-[3-(Dimethylamino)propylidene]-10,11-dihydro-5H-dibenzo[a,d][7]annulen-10-ol",C20H23NO,293.177964365,,,,11,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,ND,,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID00223272,293.177964365,[H]C12CCC(CC(O)CNC)(C3=C1C=CC=C3)C1=C2C=CC=C1,DTXSID40866561,"3-(9,10-Ethano-9,10-dihydro-9-anthryl)-1-methylamino-2-propanol",56433-44-4,FDXQKWSTUZCCTM-UHFFFAOYNA-N,"1-(9,10-Ethanoanthracen-9(10H)-yl)-3-(methylamino)propan-2-ol",C20H23NO,293.177964365,,,,8,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,ND,,False
2565,10-hydroxy-amitriptyline,DTXSID90873785,ESI+,1.2872725784,0.0066627,16,28.07,0.1364,293.1783774,6.7066627,293.1783774,DTXCID601012002,293.177964365,CN(C)CCC=C1C2=CC=CC=C2CC(O)C2=CC=CC=C12,DTXSID10873787,(Z)-10-Hydroxyamitriptyline,72402-20-1,GHWBJXOKAFHZAI-ATVHPVEENA-N,"(5Z)-5-[3-(Dimethylamino)propylidene]-10,11-dihydro-5H-dibenzo[a,d][7]annulen-10-ol",C20H23NO,293.177964365,,,,7,,,0.000413035,Monoisotopic Mass,I,QSAR Model,ND,,ND,,ND,,I,QSAR Model,H,QSAR Model,ND,,I,QSAR Model,ND,,ND,,ND,,ND,,ND,,ND,,ND,,I,QSAR Model,ND,,ND,,I,QSAR Model,ND,,False
